,title,review
93,나의 마지막 영어공부,제대로 된 영어를 공부할 수 있는 마지막 기회를 살리고 싶다면 꼭 읽어야 할 책!
94,거울 속 외딴 성 4,바로 주문 들어갑니다. 그냥 한꺼번에 나오면 좋겠어요
95,어디가 제일 좋았어?,여행지에서 날아온 예쁜 엽서 한 장과 같은 표지가 책 안으로 초대한다. 함께 여행하듯 재밌고 기분 좋게 읽다보면 이 여행이 끝나가는 게 아쉬울 정도. 좋은 여행 하고 돌아온 것처럼 맑아지는 기분이다. 깊은 통찰을 쉽고 간결한 언어로 표현해낸 점도 대단하다. 간만에 진짜 좋은 책을 만난듯!
96,크립토 투자 노트,블록체인에 대한 투자에 대해 자세히 설명해주시고가상화폐에 대한 특징과 설명도 잘되어있어서 좋네요. 장기투자전략에 대한 설명도 좋았습니다.이제 스마트한 투자자로 발딛은 듯한 기분이네요^^!
97,나는 이렇게 세 딸을 하버드에 보냈다,"유명 사립고를 다닌것도, 입시 컨설팅과 사교육의 도움을 받지 않고도 한 집안에서 세 자매를 모두 하버드를 보낸 엄마의 육아.교육 스토리에요아직 열려있는 내 아이의 인생 성장판을 자극하고 아이의 가능성을 믿고 지켜봐주는 엄마의 모습을 존경하게되네요"
98,나는 이렇게 세 딸을 하버드에 보냈다,"유명 사립고를 다닌것도, 입시 컨설팅과 사교육의 도움을 받지 않고도 한 집안에서 세 자매를 모두 하버드를 보낸 엄마의 육아.교육 스토리에요아직 열려있는 내 아이의 인생 성장판을 자극하고 아이의 가능성을"
99,에티카를 읽는다,보물같은 책!
100,내 마음의 위험한 녀석 5,천천히 하지만 애간장을 녹이는게 속도며 상황이며 디테일이며. 너무 좋습니다. N회차 볼 수록 야마다가 무의식적으로 보내는 신호들이 조금씩 보이는데 이걸 찾는 맛이 쏠쏠하네요. 힘드실수도 있지만 빠게 다음 편들도 정발해주셨으면 좋겠습니다
101,비와 너와 1,"주말 점심 창문 열어두고 의자에 걸터앉아 시원한 커피를 마시며 여유롭게 볼 만한 책이네요. 큼지막한 컷신과 차분한 내용, 수수한 그림체가 완전 힐링물입니다. 종이 재질도 좋고 표지도 좋고 디지인에 힘을 쓴게 마치 애장판 같습니다. 다음 정발본도 구매하고싶어요."
102,피델 카스트로,새벽에 소장하고 있는 카스트로를 읽었다. 그의 생애를 한 눈에 볼 수 있어서 좋다. 쿠바에 대한 민중의 역사를 그가 소개해준 대목도 인상이 깊다. 몬카다 습격(1953)에 대한 일화도 자세히 알았다. 대부다운 책이었다. 하지만 바티스타에 대한 언급은 적다.
103,,이 책은 정말 쉽고 재미있게 다가갈 수 있어 읽기가 너무 좋았다.책이라곤.. 아무리 기초라도 이해하기가 그 조차도 버거웠던 책이 많았는데ㅜㅜ 용어부터 너무 친절히 알려준다.그리고 뒷부분에 보면 웹페이지도 따라할 수 있어서 이 책만으로 코딩 입문이 가능하니.. 책 써주셔서 감사합니다
104,이펙티브 엔지니어,"책의 구성 방식이 기존의 딱딱한 느낌이 아니라 한 단원마다 요약을 써놓음으로서, 시간을 쪼개서 읽거나 스킵한 단원에서의 맥락을 놓이지 않고 읽을 수 있어서 신선한 느낌이었습니다. 또한, 실사례를 예시로 듦으로써 더욱 몰입해 읽을 수 있었습니다. 추천합니다."
105,인간 욕망의 법칙,"「권력을 경영하는 48가지 법칙」이란 제목으로 나온 2000년도의 번역판을 보고 감명 받아 구입했는데, 대조해 보니 빠져있는 내용이 너무 많아, 얻을 수 없게 되는 통찰이 조금 많을 것도 같다. 목차를 제대로 보고 구입하지 않은 내 탓도 있다. 하지만 같은 원서의 번역이란 기준에서 보고 평가했다"
106,하루 한장 쏙셈 6권 초등 3-2 (2022년용),하루한장 독해도 좋아하는 아이2학기 한장으로 시작해 볼까한장아!제발 우리 아이 수학을 부탁해
107,어디가 제일 좋았어?,"일단 재밌다. 술술 읽히면서도, 읽다보면 저자의 마음 따라 가슴이 웅장해지고, 깊...은 깨달음을 준다. 갖고싶게 만드는 예쁜 표지, 사진 위에 올라간 센스 넘치는 그림과 해시태그는 덤. 멋진 책이다!!"
108,모든 빗방울의 이름을 알았다,문학잡지 파리리뷰에 실렸던 15편의 작품들. 전문작가들이 자기가 좋아하는 작품들을 선별하고 작품마다 추천사를 첨부하여 작품 이해를 돕는다.
